ID: 1001 | Total Usage: 11130.0 kWh
ID: 1002 | Total Usage: 10160.0 kWh
ID: 1003 | Total Usage: 14280.0 kWh
ID: 1004 | Total Usage: 11760.0 kWh
ID: 1005 | Total Usage: 12735.0 kWh
ID: 1006 | Total Usage: 6580.0 kWh
ID: 1007 | Total Usage: 8450.0 kWh
ID: 1008 | Total Usage: 11065.0 kWh
ID: 1009 | Total Usage: 10195.0 kWh
ID: 1010 | Total Usage: 9310.0 kWh
ID: 1011 | Total Usage: 11480.0 kWh
ID: 1012 | Total Usage: 11385.0 kWh
ID: 1013 | Total Usage: 10450.0 kWh
ID: 1014 | Total Usage: 11935.0 kWh
ID: 1016 | Total Usage: 11450.0 kWh
ID: 1017 | Total Usage: 9835.0 kWh
ID: 1018 | Total Usage: 12505.0 kWh
ID: 1019 | Total Usage: 7595.0 kWh
ID: 1020 | Total Usage: 12005.0 kWh
ID: 1021 | Total Usage: 10645.0 kWh
ID: 1022 | Total Usage: 9880.0 kWh
ID: 1023 | Total Usage: 11470.0 kWh
ID: 1024 | Total Usage: 9240.0 kWh
ID: 1025 | Total Usage: 10740.0 kWh
ID: 1026 | Total Usage: 7350.0 kWh
ID: 1027 | Total Usage: 13075.0 kWh
ID: 1028 | Total Usage: 11205.0 kWh
ID: 1029 | Total Usage: 11615.0 kWh
ID: 1030 | Total Usage: 11300.0 kWh
ID: 1031 | Total Usage: 9800.0 kWh
ID: 1032 | Total Usage: 15000.0 kWh
ID: 999 | Total Usage: 9000.0 kWh
